CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	0	0		0
2	0	0		0
3	0	0		0
4	0	0		0
5	0	0		0
6	0	0		0
7	1	0	100.00	1
8	0	0		0
9	0	0		0
10	0	0		0
11	0	0		0
12	0	0		0
13	0	0		0
14	1	0	100.00	1
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	1	0	100.00	1
23	0	0		0
24	0	0		0
25	2	0	100.00	2
26	2	0	100.00	2
27	0	0		0
28	0	0		0
29	0	1	0.00	1
30	0	0		0
31	0	0		0
32	0	0		0
33	2	0	100.00	2
34	0	0		0
35	0	0		0
36	2	0	100.00	2
37	0	0		0
38	0	0		0
39	0	0		0
40	3	0	100.00	3
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	1	0	100.00	1
46	0	0		0
47	1	0	100.00	1
48	2	0	100.00	2
49	1	0	100.00	1
50	2	0	100.00	2
51	2	0	100.00	2
52	0	0		0
53	0	0		0
54	0	0		0
55	4	0	100.00	4
56	0	0		0
57	0	0		0
58	1	0	100.00	1
59	0	0		0
60	0	0		0
61	0	0		0
62	0	0		0
63	1	0	100.00	1
64	0	0		0
65	0	0		0
66	0	0		0
67	0	0		0
68	2	0	100.00	2
69	0	0		0
70	0	0		0
71	0	0		0
72	3	0	100.00	3
73	0	0		0
74	0	1	0.00	1
75	0	0		0
76	0	0		0
77	0	0		0
78	0	0		0
79	0	0		0
80	1	0	100.00	1
81	0	0		0
82	0	0		0
83	2	1	66.67	3
84	0	0		0
85	0	0		0
86	0	0		0
87	0	0		0
88	0	0		0
89	1	0	100.00	1
90	0	0		0
91	0	0		0
92	2	0	100.00	2
93	3	0	100.00	3
94	0	0		0
95	0	0		0
96	0	0		0
97	1	0	100.00	1
98	0	1	0.00	1
99	0	1	0.00	1
100	0	0		0
101	1	0	100.00	1
102	2	0	100.00	2
103	0	0		0
104	0	0		0
105	0	1	0.00	1
106	1	1	50.00	2
107	0	0		0
108	2	0	100.00	2
109	1	0	100.00	1
110	1	0	100.00	1
111	0	0		0
112	0	0		0
