All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    final.contigs
# contigs (>= 0 bp)         14374        
# contigs (>= 1000 bp)      1684         
# contigs (>= 5000 bp)      8            
# contigs (>= 10000 bp)     0            
# contigs (>= 25000 bp)     0            
# contigs (>= 50000 bp)     0            
Total length (>= 0 bp)      8771323      
Total length (>= 1000 bp)   2489227      
Total length (>= 5000 bp)   48552        
Total length (>= 10000 bp)  0            
Total length (>= 25000 bp)  0            
Total length (>= 50000 bp)  0            
# contigs                   6532         
Largest contig              8779         
Total length                5794361      
GC (%)                      44.07        
N50                         915          
N90                         554          
auN                         1138.3       
L50                         2110         
L90                         5431         
# N's per 100 kbp           0.00         
