gene	log2FC
VHL	-0.353
SYK	4.629
HIF1A	2.39
SHC1	-3.633
CDK4	4.12
SMAD4	-2.915
CDK2	4.408
SHC1	1.951
MDM2	-2.599
VEGFA	-3.176
JAK2	3.348
ABL1	0.092
E2F1	2.46
RB1	-4.559
NOTCH1	-0.408
MAP2K1	3.38
EGFR	-3.813
MAP2K1	2.972
SYK	-0.703
BRCA1	-1.584
SYK	3.782
MAPK1	-3.655
SYK	-2.12
IL6	1.489
APC	2.943
PIK3CA	-0.196
LCK	0.74
MAP2K2	2.826
SMAD4	0.982
MET	0.736
E2F1	0.39
PCNA	0.757
CDK4	-3.076
TERT	-0.159
REL	0.548
MKI67	-2.133
GRB2	4.153
KIT	-4.698
PIK3CA	-2.762
APC	-1.428
GATA3	-3.586
HRAS	2.92
ABL1	4.907
CDK4	1.07
CCND1	-1.097
ABL1	-4.844
IL6	-2.435
SYK	-1.208
PCNA	-1.089
CXCL8	3.611
RAF1	2.646
CCNE1	4.6
JAK2	4.122
TERT	-1.635
SYK	-1.623
CDKN1A	0.272
CDH1	0.606
CDK6	3.44
CCND1	-0.128
MAP2K1	3.373
MDM2	-2.47
KIT	-0.244
IL6	-1.069
HRAS	0.021
GRB2	2.527
FGFR1	1.43
VHL	-4.506
TP53	-4.77
HIF1A	0.4
CDK6	-1.461
MYC	3.539
RB1	0.925
APC	-2.428
IL10	-2.878
CDKN1B	-1.221
REL	2.007
IL6	3.146
E2F1	3.036
NRAS	0.307
NRAS	1.685
GATA3	1.172
FGFR2	-3.656
ABL1	-3.075
GRB2	-2.066
VEGFA	0.868
MDM2	0.292
ABL1	1.217
IL6	2.997
PCNA	-4.676
SYK	2.678
CDKN2A	3.037
MYC	-0.504
HRAS	1.164
NOTCH1	-2.971
VEGFA	3.169
CCND1	-0.679
BRCA2	-3.179
BRAF	-0.234
FGFR1	3.818
ABL1	-0.215
CDKN1A	-4.666
PTEN	-2.677
GRB2	-3.709
TERT	0.017
CDK4	0.723
RAF1	2.433
HRAS	-1.519
CDKN1B	4.295
CDK2	2.107
MKI67	4.7
PCNA	1.21
TP53	-4.381
KIT	-2.982
BRCA1	-4.061
ERBB2	-1.618
JAK2	-2.864
HIF1A	2.056
FGFR1	-0.09
APC	1.693
BRCA2	-2.077
NRAS	4.782
CDKN2A	-2.511
KIT	-3.271
HRAS	1.934
AKT1	4.1
VEGFA	4.016
PDGFRA	3.429
PDGFRA	4.643
FGFR2	-3.358
SOS1	-2.096
SRC	2.54
MYC	-0.037
CDK2	-4.128
REL	-3.44
MAPK1	1.262
MKI67	-3.44
NOTCH1	-3.995
PCNA	1.662
SOS1	-4.105
HIF1A	-3.57
CDK6	2.417
NFKB1	3.471
PTEN	-2.135
LCK	0.669
CDKN1A	-1.434
FGFR3	-0.345
CDK6	2.765
BRCA2	-0.13
JAK2	3.449
KRAS	-1.893
BRCA2	2.109
FGFR2	-4.776
SRC	-4.494
E2F2	-1.662
NRAS	4.162
BRAF	-4.763
MDM2	1.884
E2F2	0.967
TP53	3.82
AKT1	2.084
JAK2	-4.093
STAT3	-3.423
HRAS	2.591
CDKN1A	-1.431
TERT	-0.149
MET	-0.326
E2F2	4.245
JAK2	-1.098
TERT	2.924
BRCA1	3.977
CXCL8	-4.715
FGFR3	-0.222
EGFR	1.558
E2F2	1.862
E2F1	-2.229
REL	4.083
CDK6	-4.732
PIK3CA	4.957
RAF1	2.849
TP53	3.094
MDM2	-1.291
CDKN1A	-0.983
APC	4.875
KIT	-0.088
VHL	4.274
JAK2	1.351
NOTCH1	-3.362
CDKN1B	-0.803
MYC	-1.373
TP53	2.775
GATA3	-1.887
ABL1	-0.167
FOS	-3.924
JAK2	-3.268
APC	-0.463
PTEN	-1.673
CDK6	0.109
IL6	-1.745
CDKN1A	-0.236
MAPK3	-4.025
GATA3	0.873
PTEN	-2.276
FOS	-4.431
BRCA1	3.113
E2F2	3.454
FGFR2	3.774
BRCA1	0.58
FGFR3	2.638
SRC	2.825
IL6	0.999
CDK6	0.807
CCNE1	3.618
E2F2	1.293
FGFR2	0.008
CXCL8	-1.417
BRCA2	-0.012
PDGFRA	1.234
FOS	-0.269
RB1	-4.389
STAT3	-4.14
MAP2K2	0.453
E2F1	3.318
RAF1	-4.407
MYC	-0.947
BRAF	1.899
IL6	4.344
MKI67	-1.878
CDK6	-2.404
EGFR	-1.439
MAP2K1	0.151
JAK2	4.149
ERBB2	4.849
LCK	1.526
E2F1	4.045
PDGFRA	4.263
APC	-0.068
TNF	-3.466
ABL1	1.378
PCNA	2.528
MYC	-0.563
BRCA2	1.214
STAT3	-3.575
GATA3	-3.478
LCK	-2.65
CCNE1	-1.327
ABL1	-2.479
BRAF	-3.312
MKI67	0.39
HRAS	0.742
MET	2.736
SRC	-2.144
REL	4.675
LCK	-3.171
LCK	0.964
PTEN	1.53
PIK3CA	-3.362
STAT3	4.0
FGFR2	-2.119
CDH1	-2.786
SYK	-0.142
RB1	-2.037
E2F2	0.764
MAP2K1	0.903
APC	1.767
RAF1	2.864
MAP2K2	-4.264
GATA3	3.875
CXCL8	1.675
IL10	-0.614
MAPK1	0.091
BRAF	1.17
GATA3	0.753
FGFR3	2.625
CDK2	-3.893
ERBB2	-1.728
CCNE1	-0.817
MAPK1	-3.733
HIF1A	-0.48
FGFR2	1.901
ERBB2	1.294
CCND1	-1.664
HRAS	-2.087
IL10	3.349
BRAF	-0.153
ABL1	0.931
SOS1	-4.667
AKT1	-1.868
ERBB2	-4.077
RAF1	1.482
IL6	2.942
ABL1	-0.205
KRAS	4.67
CDKN1B	-4.152
BRCA1	-3.532
PTEN	3.311
MET	1.606
MAP2K1	-4.009
STAT3	-1.25
LCK	1.532
STAT3	-0.983
NRAS	-2.606
STAT3	1.89
E2F1	-0.995
FGFR1	2.35
PIK3CA	-4.374
TERT	4.678
