mature read count	mature miRBase miRNA
9267557	hsa-miR-486-5p_MIMAT0002177_Homo_sapiens_miR-486-5p
9256088	hsa-miR-486-5p_MIMAT0002177_Homo_sapiens_miR-486-5p
262947	hsa-miR-92a-1-5p_MIMAT0004507_Homo_sapiens_miR-92a-1-5p
38542	hsa-miR-191-5p_MIMAT0000440_Homo_sapiens_miR-191-5p
35887	hsa-miR-25-5p_MIMAT0004498_Homo_sapiens_miR-25-5p
23022	hsa-miR-22-5p_MIMAT0004495_Homo_sapiens_miR-22-5p
17092	hsa-miR-16-5p_MIMAT0000069_Homo_sapiens_miR-16-5p
17090	hsa-miR-16-5p_MIMAT0000069_Homo_sapiens_miR-16-5p
11477	hsa-let-7i-5p_MIMAT0000415_Homo_sapiens_let-7i-5p
1129	hsa-miR-126-5p_MIMAT0000444_Homo_sapiens_miR-126-5p
1219	hsa-miR-140-5p_MIMAT0000431_Homo_sapiens_miR-140-5p
1171	hsa-miR-183-5p_MIMAT0000261_Homo_sapiens_miR-183-5p
885	hsa-miR-30e-5p_MIMAT0000692_Homo_sapiens_miR-30e-5p
877	hsa-miR-150-5p_MIMAT0000451_Homo_sapiens_miR-150-5p
806	hsa-miR-26b-5p_MIMAT0000083_Homo_sapiens_miR-26b-5p
604	hsa-miR-15b-5p_MIMAT0000417_Homo_sapiens_miR-15b-5p
555	hsa-miR-532-5p_MIMAT0002888_Homo_sapiens_miR-532-5p
553	hsa-miR-378a-5p_MIMAT0000731_Homo_sapiens_miR-378a-5p
504	hsa-miR-28-5p_MIMAT0000085_Homo_sapiens_miR-28-5p
400	hsa-miR-130b-5p_MIMAT0004680_Homo_sapiens_miR-130b-5p
410	hsa-miR-148a-5p_MIMAT0004549_Homo_sapiens_miR-148a-5p
417	hsa-miR-101-5p_MIMAT0004513_Homo_sapiens_miR-101-5p
373	hsa-miR-21-5p_MIMAT0000076_Homo_sapiens_miR-21-5p
263	hsa-miR-146b-5p_MIMAT0002809_Homo_sapiens_miR-146b-5p
